TS,Sequence,Node,Millis,Sensor,Reading,ReadingUnits,Memo,RSSI,OriginId
2013-11-07 11:51:55,R4096,Proto1,3200748,Dallas,29.00,C,,-81,0
2013-11-07 11:51:55,R4096,Proto1,3200748,Dallas-F,84.2,F,,-81,0
2013-11-07 11:52:00,R4097,Proto1,3205492,SHT15-Temp,-42.56,C,,-83,0
2013-11-07 11:52:00,R4097,Proto1,3205492,SHT15-Temp-F,-44.608,F,,-83,0
2013-11-07 11:52:00,R4104,Proto1,3206241,BMP-Pressure,100255.00,Pa,,-81,0
2013-11-07 11:52:01,R4105,Proto1,3206341,MDWIND,632.00,raw,,-82,0
2013-11-07 11:52:01,R89,Mote2,106674,Dallas,22.13,C,,-80,0
2013-11-07 11:52:01,R89,Mote2,106674,Dallas-F,71.834,F,,-80,0
2013-11-07 11:52:02,R4106,Proto1,3207245,Dallas,29.00,C,,-84,0
2013-11-07 11:52:02,R4106,Proto1,3207245,Dallas-F,84.2,F,,-84,0
2013-11-07 11:52:06,R4107,Proto1,3211995,SHT15-Temp,-42.56,C,,-80,0
2013-11-07 11:52:06,R4107,Proto1,3211995,SHT15-Temp-F,-44.608,F,,-80,0
2013-11-07 11:52:06,R4108,Proto1,3212017,SHT15-RH,-13.84,%RH,,-78,0
2013-11-07 11:52:07,R90,Mote2,111749,BATT-R,148.00,raw,,-87,0
2013-11-07 11:52:08,R4113,Proto1,3212890,BMP-Temp,28.26,C,,-85,0
2013-11-07 11:52:08,R4113,Proto1,3212890,BMP-Temp-F,82.868,F,,-85,0
2013-11-07 11:52:09,R4116,Proto1,3214457,Dallas,29.00,C,,-79,0
2013-11-07 11:52:09,R4116,Proto1,3214457,Dallas-F,84.2,F,,-79,0
2013-11-07 11:52:13,R4117,Proto1,3219158,SHT15-Temp,-42.56,C,,-82,0
2013-11-07 11:52:13,R4117,Proto1,3219158,SHT15-Temp-F,-44.608,F,,-82,0
2013-11-07 11:52:14,R95,Mote2,117974,BATT-R,148.00,raw,,-77,0
2013-11-07 11:52:14,R4121,Proto1,3219614,DUM,3.14,na,,-82,0
2013-11-07 11:52:14,R4122,Proto1,3219724,LUX-FLT,128.00,lux,,-77,0
2013-11-07 11:52:14,R4123,Proto1,3219803,BMP-Temp,28.27,C,,-81,0
2013-11-07 11:52:14,R4123,Proto1,3219803,BMP-Temp-F,82.886,F,,-81,0
2013-11-07 11:52:14,R4124,Proto1,3219924,BMP-Pressure,100258.00,Pa,,-81,0
